id_bien;No_voie;B_T_Q;Type_voie;Voie;Code_postal;id_codedep_codecommune;Type_local;surface_carrez;Surface_local;total_piece
1;347;;RUE;DU CHATEAU;1170;01103;Appartement;48,22;48;3
2;4;;BD;EDOUARD BAUDOIN;6160;06004;Appartement;39,11;40;1
3;20;B;RUE;MARCEAU;6000;06088;Appartement;80,25;82;3
4;550;;RTE;DES VESPINS RN7;6700;06123;Appartement;27,51;27;1
5;9300;;RES;LES ARPEGES BD DES ABA;13400;13005;Appartement;47,33;47;2
6;27;;RUE;DU GRAND MADIER;13600;13028;Appartement;25,31;24;1
7;360;;AV;DU PRADO;13008;13208;Appartement;70,84;70;3
8;5076;F;PARC;DESSUARD;13012;13212;Appartement;67,19;66;3
9;1194;;RUE;DE NORMANDIE;14510;14338;Appartement;18,89;19;1
10;30;;ALL;DES NOISETIERS;14100;14366;Maison;105,37;99;4
11;11;;RUE;ROUGET DE L ISLE;17000;17300;Appartement;31,99;34;2
12;13;;RUE;BERTHE MORISOT;25000;25056;Maison;96,21;100;5
13;1;;RUE;DU POHER;29000;29232;Appartement;30,86;31;1
14;2;;RUE;DES JARDINS;29290;29260;Appartement;66,21;67;3
15;5;;AV;DU COMMANDANT TAILLANDIER;31500;31555;Appartement;45,58;46;2
16;15;;RUE;PAUL DENUCE;33800;33063;Appartement;23,2;27;1
17;176;;RUE;SAINTE CATHERINE;33000;33063;Appartement;13,1;12;1
18;822;G;;LA BAYNASSE SUD;33121;33097;Appartement;29;29;2
19;9;;RUE;DE BELFORT;33160;33449;Appartement;51,4;51;2
20;183;;RUE;MARC ANTOINE MENARD;34400;34145;Appartement;16,79;18;1
21;50;;AV;ANDRE CHASSEFIERE;34340;34150;Appartement;51,4;51;2
22;8;;PL;DES ETATS DU LANGUEDOC;34120;34199;Appartement;68,22;85;3
23;7;;RUE;JEAN-JACQUES ROUSSEAU;37270;37156;Maison;88,45;89;4
24;197;;AV;DE GRAMMONT;37000;37261;Appartement;42,94;46;2
25;48;;BD;MAL FOCH;38000;38185;Appartement;76,48;77;4
26;210;;RTE;DU TAILLEUR;40170;40266;Maison;48,23;53;3
27;199;;RES;MER ET GOLF-LE BOUCANIER;40480;40328;Appartement;49,91;48;2
28;3;;ALL;JEAN PERRIN;44400;44143;Appartement;46,3;45;2
29;12;;RUE;FERDINAND BUISSON;44600;44184;Appartement;47,24;48;2
30;35;;AV;DE CHAMPAGNE;51200;51230;Appartement;81,09;79;4
31;26;;RUE;MESSIER;54000;54395;Appartement;39,69;39;2
32;5794;;;GOLF SAINT LAURENT;56400;56161;Appartement;43,85;44;3
33;5;;RUE;DE PRUNEVEAUX;58000;58194;Appartement;108,78;124;4
34;118;;BD;DU GENERAL DE GAULLE;59100;59512;Appartement;89,84;71;3
35;247;;RUE;DE NOTRE DAME DU THIL;60000;60057;Appartement;48,35;48;2
36;34;;RUE;DE LA VILLE;60660;60155;Appartement;19,11;18;1
37;15;;SQ;JEAN BAPTISTE CLEMENT;60200;60159;Appartement;97,39;97;5
38;84;;AV;JEAN JAURES;60290;60524;Appartement;31,73;32;1
39;54;;RUE;DE LA BUSSIERE;69600;69149;Appartement;49,89;51;2
40;15;;RUE;ARTAUD;69004;69384;Appartement;20,02;20;1
41;1;;AV;D ABONDANCE;74500;74119;Appartement;34,86;33;2
42;950;;AV;DU MONT D ARBOIS;74170;74236;Appartement;39,05;39;2
43;110;;RTE;DE LA TELECABINE;74430;74238;Appartement;18,93;20;1
44;2308;;AV;DES VALLEES;74300;74278;Appartement;88,59;88;4
45;22;;BD;SAINT MARCEL;75005;75105;Appartement;30,05;41;2
46;45;;BD;DE MAGENTA;75010;75110;Appartement;32,3;32;2
47;14;;AV;DE LA REPUBLIQUE;75011;75111;Appartement;120,28;120;4
48;160;;RUE;SAINT MAUR;75011;75111;Appartement;17,94;28;2
49;11;;RUE;DU MOULIN JOLY;75011;75111;Appartement;28,39;28;2
50;36;;RUE;ERARD;75012;75112;Appartement;18;41;2
51;220;;RUE;DE CHARENTON;75012;75112;Appartement;51,44;51;3
52;17;;RUE;D AUSTERLITZ;75012;75112;Appartement;10,06;10;1
53;60;A;RUE;EMERIAU;75015;75115;Appartement;88,3;88;4
54;4;;RUE;SQUARE CARPEAUX;75018;75118;Appartement;23,98;18;1
55;36;;AV;DE CLICHY;75018;75118;Appartement;53,59;39;2
56;68;;RUE;MARCADET;75018;75118;Appartement;24,3;25;2
57;16;;AV;ALEXANDRE ANQUETIN;76200;76217;Appartement;61,52;59;4
58;5;;PARC;DE LA BRESLE;76130;76451;Appartement;57,27;58;3
59;4;;RUE;FRANCOIS LAPERT;76460;76655;Appartement;23,98;25;1
60;5;B;RUE;DE LA SOLIDARITE;77410;77118;Appartement;35,32;40;2
